epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,21669.2,0.94122,0.6219,1.07612,0.89911,0.79474,0.86771,0.63478,1.16534,0.74763,1.2398,0.00509569,0.00509569,0.00509569
163,21799.5,0.93414,0.61454,1.0716,0.8991,0.79433,0.86758,0.6345,1.16519,0.74734,1.24005,0.00506523,0.00506523,0.00506523
164,21929.6,0.93712,0.61846,1.07403,0.89371,0.79942,0.86733,0.63491,1.16526,0.74737,1.2404,0.00503477,0.00503477,0.00503477
165,22059.6,0.93526,0.61787,1.0714,0.89203,0.80092,0.86776,0.63541,1.16423,0.74665,1.2401,0.00500431,0.00500431,0.00500431
166,22202.2,0.93586,0.61741,1.07272,0.8936,0.80053,0.86732,0.63574,1.16412,0.74614,1.24037,0.00497385,0.00497385,0.00497385
167,22333.5,0.93429,0.61456,1.06902,0.88726,0.80503,0.86725,0.63597,1.16346,0.74625,1.24012,0.00494338,0.00494338,0.00494338
168,22464.4,0.93026,0.61099,1.06862,0.88685,0.80566,0.86731,0.63595,1.16318,0.74618,1.24042,0.00491292,0.00491292,0.00491292
169,22606.5,0.9304,0.61127,1.06774,0.88655,0.80639,0.86763,0.63647,1.16211,0.74635,1.23989,0.00488246,0.00488246,0.00488246
170,22736.9,0.93025,0.61299,1.06696,0.88567,0.80678,0.86749,0.63662,1.16151,0.74573,1.23954,0.004852,0.004852,0.004852
171,22867.7,0.92029,0.59826,1.06116,0.89286,0.80209,0.86733,0.63677,1.16086,0.74557,1.23922,0.00482154,0.00482154,0.00482154
172,23009.8,0.91838,0.59936,1.06176,0.8951,0.79867,0.8671,0.63705,1.16042,0.74599,1.23886,0.00479108,0.00479108,0.00479108
173,23138.2,0.91963,0.60451,1.05824,0.8933,0.80045,0.86674,0.63705,1.15992,0.7459,1.23856,0.00476062,0.00476062,0.00476062
174,23268.1,0.91435,0.60036,1.06046,0.89297,0.8014,0.86643,0.63707,1.15985,0.74554,1.23851,0.00473015,0.00473015,0.00473015
175,23398.4,0.91125,0.59294,1.05659,0.89187,0.80143,0.86616,0.63713,1.15923,0.74513,1.23824,0.00469969,0.00469969,0.00469969
